"","cat_pais","ncat_eleccion","ncat_ronda","polar","source_polar"
"235","Uruguay",2014,1,3.52692031860352,"Mainwaring & Su (2021) - runoff"
"236","Uruguay",2014,2,3.52692031860352,"Mainwaring & Su (2021) - runoff"
"237","Uruguay",2019,1,NA,NA
"238","Uruguay",2019,2,NA,NA
"239","Venezuela",1958,1,NA,NA
"240","Venezuela",1963,1,2.87612891197205,"Mainwaring & Su (2021) - runoff"
"241","Venezuela",1968,1,2.94060087203979,"Mainwaring & Su (2021) - runoff"
"242","Venezuela",1973,1,2.41723990440369,"Mainwaring & Su (2021) - runoff"
"243","Venezuela",1978,1,4.20871639251709,"Mainwaring & Su (2021) - runoff"
"244","Venezuela",1983,1,2.91101789474487,"Mainwaring & Su (2021) - runoff"
"245","Venezuela",1988,1,3.62167644500732,"Mainwaring & Su (2021) - runoff"
"246","Venezuela",1993,1,2.83913636207581,"Mainwaring & Su (2021) - runoff"
"247","Venezuela",1998,1,6.88325357437134,"Mainwaring & Su (2021) - runoff"
"248","Venezuela",2000,1,3.67461919784546,"Mainwaring & Su (2021) - runoff"
"249","Venezuela",2006,1,4.92500019073486,"Mainwaring & Su (2021) - runoff"
"250","Venezuela",2012,1,NA,NA
"251","Venezuela",2013,1,NA,NA
"252","Venezuela",2018,1,NA,NA
