cat_pais,ncat_eleccion,ncat_ronda,nombres_candidatos,ninvitaciones,source_invitaciones
Colombia,2010,1,Gustavo Petro,5,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,1,Juan Manuel Santos,5,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,1,Noemi Sanin,5,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,1,Rafael Pardo,5,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,1,Sergio Fajardo,1,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,2,Antanas Mockus,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2010,2,Juan Manuel Santos,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2014,1,Clara Lopez,7,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2014,1,Enrique Penalosa,7,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2014,1,Juan Manuel Santos,7,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2014,1,Marta Lucia Ramirez,7,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2014,1,Oscar Ivan Zuluaga,7,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2014,2,Juan Manuel Santos,3,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2014,2,Oscar Ivan Zuluaga,3,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2018,1,German Vargas Lleras,15,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2018,1,Gustavo Petro,15,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2018,1,Humberto de la Calle,16,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2018,1,Ivan Duque,16,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2018,1,Jorge Antonio Trujillo,1,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2018,1,Sergio Fajardo,14,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2018,1,Viviane Morales,2,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2022,1,Enrique Gomez,12,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2022,1,Federico Gutierrez,20,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2022,1,Gustavo Petro,21,Elaboracion propia con base en Franco Hantzsch (2022)
Colombia,2022,1,Ingrid Betancourt,15,Elaboracion propia con base en Franco Hantzsch (2022)
