"","cat_pais","ncat_eleccion","ncat_ronda","gdpxcapita","source_gdp","gdpxcapita2","source_gdpxcapita2"
"106","Ecuador",1996,2,4106.26329396518,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3782.18994140625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"107","Ecuador",1998,1,4269.99000199506,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3832.76000976562,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"108","Ecuador",1998,2,4269.99000199506,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3832.76000976562,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"109","Ecuador",2002,1,4196.57413303095,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3966.169921875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"110","Ecuador",2002,2,4196.57413303095,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3966.169921875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"111","Ecuador",2006,1,4732.87573654346,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3848.27001953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"112","Ecuador",2006,2,4732.87573654346,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3848.27001953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"113","Ecuador",2009,1,4937.0383970139,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4400.85986328125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"114","Ecuador",2013,1,5924.85887264747,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4573.25,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"115","Ecuador",2017,1,6127.14946730109,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5311.2099609375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"116","Ecuador",2017,2,6127.14946730109,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5311.2099609375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"117","Ecuador",2021,1,5798.36443701443,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"118","Ecuador",2021,2,5798.36443701443,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"119","Ecuador",2023,1,6166.00475903588,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"120","Ecuador",2023,2,6166.00475903588,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"121","El Salvador",1984,1,2379.41249213777,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"122","El Salvador",1984,2,2379.41249213777,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"123","El Salvador",1989,1,2294.72928553379,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"124","El Salvador",1994,1,2680.10512373688,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",2083.97998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"125","El Salvador",1994,2,2680.10512373688,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",2083.97998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
