"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","anio","vote_share","vs_vote_share","party_name","vs_party_name","status","vs_status","source_str_vote_share","source_url_vote_share"
"141","Peru",2006,2,"Alan Garcia Perez",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Peru",2006,2,"Ollanta Moises Humala Tasso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Peru",2011,1,"Keiko Fujimori Higuchi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Peru",2011,1,"Oscar Luis Castaneda Lossio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Peru",2011,1,"Pedro Pablo Kuczynski",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Peru",2011,1,"Ollanta Moises Humala Tasso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Peru",2011,1,"Alejandro Toledo Manrique",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Peru",2011,1,"Juliana Reymer Rodriguez",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Peru",2011,1,"Humberto Pinazo Bella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Peru",2011,1,"Rafael Belaunde Aubry",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Peru",2011,1,"Jose Manuel Rodriguez Cuadros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Peru",2011,1,"Ricardo Noriega Salaverry",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Peru",2011,1,"Jose Antonio Nique de la Puente",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Peru",2011,1,"Manuel Rodriguez Cuadros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Peru",2011,1,"Jose Nique de la Puente",NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Peru",2011,2,"Ollanta Moises Humala Tasso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Peru",2011,2,"Keiko Fujimori Higuchi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Peru",2016,1,"Antero Flores Araoz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Peru",2016,1,"Hernando Guerra Garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Peru",2016,1,"Francisco Diez Canseco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Peru",2016,1,"Yehude Simon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Peru",2016,1,"Fernando Olivera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Peru",2016,1,"Julio Guzman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Peru",2016,1,"Veronika Mendoza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Peru",2016,1,"Vladimir Cerron",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Peru",2016,1,"Gregorio Santos Guerrero",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Peru",2016,1,"Alan Garcia Perez",NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Peru",2016,1,"Alejandro Toledo Manrique",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Peru",2016,1,"Isaac Alfredo Barnechea Garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Peru",2016,1,"Keiko Fujimori Higuchi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Peru",2016,1,"Luis Fernando Oliver Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Peru",2016,1,"Miguel Hilario",NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Peru",2016,1,"Pedro Pablo Kuczynski",NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Peru",2016,2,"Keiko Fujimori Higuchi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Peru",2016,2,"Pedro Pablo Kuczynski",NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Peru",2021,1,"Yonhy Lescano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Peru",2021,1,"George Forsyth",NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Peru",2021,1,"Veronika Mendoza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Peru",2021,1,"Keiko Fujimori Higuchi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Peru",2021,1,"Daniel Urresti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Peru",2021,1,"Cesar Acuna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Peru",2021,1,"Marco Arana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Peru",2021,1,"Alberto Beingolea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Peru",2021,1,"Hernando de Soto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Peru",2021,1,"Andres Alcantara",NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Peru",2021,1,"Ollanta Moises Humala Tasso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Peru",2021,1,"Jose Castillo",NA,NA,NA,NA,NA,NA,NA,NA,NA
