"","cat_pais","ncat_eleccion","ncat_ronda","satisfaccion","source_satisfaccion"
"148","Guatemala",2007,1,0.32456608811749,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"149","Guatemala",2007,2,0.32456608811749,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"150","Guatemala",2011,1,0.323174029451138,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"151","Guatemala",2011,2,0.323174029451138,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"152","Guatemala",2015,1,0.389152058432935,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"153","Guatemala",2015,2,0.389152058432935,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"154","Guatemala",2019,1,0.31484335839599,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"155","Guatemala",2019,2,0.31484335839599,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"156","Guatemala",2023,1,0.296161953727506,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"157","Guatemala",2023,2,0.296161953727506,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"158","Honduras",1981,1,NA,NA
"159","Honduras",1985,1,NA,NA
"160","Honduras",1989,1,NA,NA
"161","Honduras",1993,1,NA,NA
"162","Honduras",1997,1,0.493570722057369,"Promedio de valores provenientes de:Latinobarometro"
"163","Honduras",2001,1,0.316,"Promedio de valores provenientes de:Latinobarometro"
"164","Honduras",2005,1,0.425,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"165","Honduras",2009,1,0.326627463863338,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"166","Honduras",2013,1,0.204949074074074,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"167","Honduras",2017,1,0.324230769230769,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"168","Honduras",2021,1,0.138187729243081,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"169","Mexico",1982,1,NA,NA
"170","Mexico",1988,1,NA,NA
"171","Mexico",1994,1,0.222591362126246,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"172","Mexico",2000,1,0.365351629502573,"Promedio de valores provenientes de:Latinobarometro"
"173","Mexico",2006,1,0.450448717948718,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"174","Mexico",2012,1,0.221666666666667,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"175","Mexico",2018,1,0.308370253164557,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"176","Nicaragua",1984,1,NA,NA
"177","Nicaragua",1990,1,NA,NA
"178","Nicaragua",1996,1,0.238878143133462,"Promedio de valores provenientes de:Latinobarometro"
"179","Nicaragua",2001,1,0.237810945273632,"Promedio de valores provenientes de:Latinobarometro"
"180","Nicaragua",2006,1,0.258,"Promedio de valores provenientes de:Latinobarometro"
"181","Nicaragua",2011,1,0.381,"Promedio de valores provenientes de:Latinobarometro"
"182","Nicaragua",2016,1,0.502,"Promedio de valores provenientes de:Latinobarometro"
"183","Panama",1994,1,NA,NA
"184","Panama",1999,1,0.34,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"185","Panama",2004,1,0.429093044539353,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"186","Panama",2009,1,0.584494791666667,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"187","Panama",2014,1,0.535149867374005,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"188","Panama",2019,1,0.256645926876202,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"189","Paraguay",1989,1,NA,NA
"190","Paraguay",1993,1,NA,NA
"191","Paraguay",1998,1,0.241666666666667,"Promedio de valores provenientes de:Latinobarometro"
"192","Paraguay",2003,1,0.0916666666666667,"Promedio de valores provenientes de:Latinobarometro"
