"","cat_pais","ncat_eleccion","ncat_ronda","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting"
"114","Ecuador",2013,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"115","Ecuador",2017,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"116","Ecuador",2017,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"117","Ecuador",2021,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"118","Ecuador",2021,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"119","Ecuador",2023,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"120","Ecuador",2023,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"121","El Salvador",1984,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"122","El Salvador",1984,2,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"123","El Salvador",1989,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"124","El Salvador",1994,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"125","El Salvador",1994,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"126","El Salvador",1999,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"127","El Salvador",2004,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"128","El Salvador",2009,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"129","El Salvador",2014,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"130","El Salvador",2014,2,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"131","El Salvador",2019,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"132","El Salvador",2024,1,NA,NA,NA,NA,NA,NA
"133","Guatemala",1966,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"134","Guatemala",1970,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"135","Guatemala",1974,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"136","Guatemala",1978,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"137","Guatemala",1982,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"138","Guatemala",1985,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"139","Guatemala",1985,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"140","Guatemala",1991,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"141","Guatemala",1991,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"142","Guatemala",1995,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"143","Guatemala",1995,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"144","Guatemala",1999,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"145","Guatemala",1999,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
