"","cat_pais","ncat_eleccion","ncat_ronda","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region"
"180","Republica Dominicana",2012,1,0.635416666666667,0.666666666666667,4,"Calculo con base en data recabada para Franco H. (2022)"
"181","Republica Dominicana",2016,1,0.729166666666667,1,4,"Calculo con base en data recabada para Franco H. (2022)"
"182","Republica Dominicana",2020,1,0.741666666666667,0.75,6,"Calculo con base en data recabada para Franco H. (2022)"
"183","El Salvador",1984,2,0.35,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"184","El Salvador",1989,1,0.25,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"185","El Salvador",1994,2,0.456825396825397,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"186","El Salvador",1999,1,0.37,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"187","El Salvador",2004,1,0.433333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"188","El Salvador",2009,1,0.5,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"189","El Salvador",2014,2,0.641666666666667,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"190","El Salvador",2019,1,0.793333333333333,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"191","El Salvador",2024,1,0.788095238095238,1,7,"Calculo con base en data recabada para Franco H. (2022)"
"192","Brasil",1989,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"193","Brasil",2002,1,0.291666666666667,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"194","Brasil",2006,1,0.604166666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"195","Brasil",2010,1,0.489583333333333,0.375,3,"Calculo con base en data recabada para Franco H. (2022)"
"196","Brasil",2014,1,0.708333333333333,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"197","Brasil",2018,1,0.825,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
