"","cat_pais","ncat_eleccion","nombres_candidatos","npresenciaspasadas","nausenciaspasadas","dicopresenciaspasadas","dicoausenciaspasadas","source_participaciones"
"179","Bolivia",2005,"Jorge Quiroga",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"180","Bolivia",2005,"Michiaki Nagatani",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"181","Bolivia",2005,"Nestor Garcia",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"182","Bolivia",2005,"Samuel Doria Medina",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"183","Brasil",2006,"Cristovam Buarque",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"184","Brasil",2006,"Geraldo Alckmin",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"185","Brasil",2006,"Heloisa Helena",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"186","Brasil",2006,"Jose Maria Eymael",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"187","Brasil",2006,"Luciano Bivar",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"188","Brasil",2006,"Luiz Inacio Lula da Silva",14,1,1,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"189","Chile",2006,"Joaquin Lavin Infante",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"190","Chile",2006,"Michelle Bachelet",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"191","Chile",2006,"Sebastian Pinera",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"192","Chile",2006,"Tomas Hirsch Goldschmidt",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"193","Colombia",2006,"Alvaro Leyva",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"194","Colombia",2006,"Alvaro Uribe Velez",2,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"195","Colombia",2006,"Antanas Mockus",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"196","Colombia",2006,"Carlos Gaviria",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"197","Colombia",2006,"Enrique Parejo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"198","Colombia",2006,"Horacio Serpa",4,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"199","Costa Rica",2006,"Abel Pacheco de la Espriella",4,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"200","Costa Rica",2006,"Alvaro Montero",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"201","Costa Rica",2006,"Antonio Alvarez Desanti",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"202","Costa Rica",2006,"Bolivar Serrano Hidalgo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"203","Costa Rica",2006,"Humberto Arce",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"204","Costa Rica",2006,"Humberto Vargas",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"205","Costa Rica",2006,"Jose Manuel Echandi",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"206","Costa Rica",2006,"Jose Miguel Villalobos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"207","Costa Rica",2006,"Juan Jose Vargas Fallas",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"208","Costa Rica",2006,"Oscar Arias",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"209","Costa Rica",2006,"Otto Guevara",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"210","Costa Rica",2006,"Otton Solis",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"211","Costa Rica",2006,"Ricardo Toledo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"212","Costa Rica",2006,"Vladimir de la Cruz",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"213","Costa Rica",2006,"Walter Munoz",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"214","Ecuador",2006,"Alvaro Noboa",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"215","Ecuador",2006,"Cynthia Viteri",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"216","Ecuador",2006,"Fernando Rosero",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"217","Ecuador",2006,"Leon Roldos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
