"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","candidate_name","vote_share","party_name","status","compilador_vote_share","source_url_vote_share","source_str_vote_share"
"147","Chile",2013,1,1,"Chile","Marco Enriquez-Ominami","10,99"," - ","",NA,"","Friedenberg (2016a)"
"148","Chile",2013,1,1,"Chile","Franco Parisi","10,11"," - ","",NA,"","Friedenberg (2016a)"
"149","Chile",2013,1,1,"Chile","Marcel Claude","2,81"," - ","",NA,"","Friedenberg (2016a)"
"150","Chile",2013,1,1,"Chile","Ricardo Israel","0,57"," - ","",NA,"","Friedenberg (2016a)"
"151","Chile",2013,1,1,"Chile","Roxana Miranda","1,24"," - ","",NA,"","Friedenberg (2016a)"
"152","Chile",2013,1,1,"Chile","Alfredo Sfeir","2,35"," - ","",NA,"","Friedenberg (2016a)"
"153","Chile",2013,1,1,"Chile","Tomas Jocelyn-Holt","0,19"," - ","",NA,"","Friedenberg (2016a)"
"154","Chile",2013,2,1,"Chile","Michelle Bachelet","62,17","Nueva Mayoría (PS) - NA","Desafiante",NA,"","Friedenberg (2016a)"
"155","Chile",2013,2,1,"Chile","Evelyn Matthei","37,83","NA - NA",NA,NA,"","Friedenberg (2016a)"
"156","Chile",2017,1,1,"Chile",NA,"36,64","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"157","Chile",2017,1,1,"Chile",NA,"22,7","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"158","Chile",2017,2,1,"Chile","Sebastián Piñera","54,58","Chile Vamos (Independiente) - NA","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"159","Chile",2017,2,1,"Chile",NA,"45,42","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"160","Chile",2021,1,1,"Chile",NA,"27,91","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"161","Chile",2021,1,1,"Chile",NA,"25,83","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"162","Chile",2021,2,1,"Chile","Gabriel Boric","55,87","Apruebo Dignidad (CS) - NA","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"163","Chile",2021,2,1,"Chile",NA,"44,13","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034","Freidenberg (2024)"
"164","Colombia",1974,1,0,"Colombia","Alfonso López M.","56,4","Liberal - ","",NA,"","Friedenberg (2016a)"
"165","Colombia",1974,1,0,"Colombia","Alvaro Gomez","31,4","Conservador - ","",NA,"","Friedenberg (2016a)"
"166","Colombia",1974,1,0,"Colombia","María Eugenia Rojas ","9,5","Anapo - ","",NA,"","Friedenberg (2016a)"
"167","Colombia",1978,1,0,"Colombia","Julio César Turbay A","49,5","Liberal - ","",NA,"","Friedenberg (2016a)"
"168","Colombia",1978,1,0,"Colombia","Belisario Betancur C.","46,6","Candidato Nacional - ","",NA,"","Friedenberg (2016a)"
"169","Colombia",1982,1,0,"Colombia","Belisario Betancur C.","46,9","Movimiento Nacional - Conserv","Desafiante",NA,"","Friedenberg (2016a)"
"170","Colombia",1982,1,0,"Colombia","Alfonso López M.","41","Liberal - Liberal","Incumbente",NA,"","Friedenberg (2016a)"
