"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"75","Costa Rica",1962,1,13,"Base Qof p_durable",14,"Base Qof bmr_demdur",9,"Mainwaring & Su (2021) - age_demo",14,"14"
"76","Costa Rica",1966,1,17,"Base Qof p_durable",18,"Base Qof bmr_demdur",13,"Mainwaring & Su (2021) - age_demo",18,"18"
"77","Costa Rica",1970,1,21,"Base Qof p_durable",22,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",22,"22"
"78","Costa Rica",1974,1,25,"Base Qof p_durable",26,"Base Qof bmr_demdur",21,"Mainwaring & Su (2021) - age_demo",26,"26"
"79","Costa Rica",1978,1,29,"Base Qof p_durable",30,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",30,"30"
"80","Costa Rica",1982,1,33,"Base Qof p_durable",34,"Base Qof bmr_demdur",29,"Mainwaring & Su (2021) - age_demo",34,"34"
"81","Costa Rica",1986,1,37,"Base Qof p_durable",38,"Base Qof bmr_demdur",33,"Mainwaring & Su (2021) - age_demo",38,"38"
"82","Costa Rica",1990,1,41,"Base Qof p_durable",42,"Base Qof bmr_demdur",37,"Mainwaring & Su (2021) - age_demo",42,"42"
"83","Costa Rica",1994,1,45,"Base Qof p_durable",46,"Base Qof bmr_demdur",41,"Mainwaring & Su (2021) - age_demo",46,"46"
"84","Costa Rica",1998,1,49,"Base Qof p_durable",50,"Base Qof bmr_demdur",45,"Mainwaring & Su (2021) - age_demo",50,"50"
"85","Costa Rica",2002,2,53,"Base Qof p_durable",54,"Base Qof bmr_demdur",49,"Mainwaring & Su (2021) - age_demo",54,"54"
"86","Costa Rica",2002,1,53,"Base Qof p_durable",54,"Base Qof bmr_demdur",49,"Mainwaring & Su (2021) - age_demo",54,"54"
"87","Costa Rica",2006,1,57,"Base Qof p_durable",58,"Base Qof bmr_demdur",53,"Mainwaring & Su (2021) - age_demo",58,"58"
"88","Costa Rica",2010,1,61,"Base Qof p_durable",62,"Base Qof bmr_demdur",57,"Mainwaring & Su (2021) - age_demo",62,"62"
"89","Costa Rica",2014,2,65,"Base Qof p_durable",66,"Base Qof bmr_demdur",61,"Mainwaring & Su (2021) - age_demo",66,"66"
"90","Costa Rica",2014,1,65,"Base Qof p_durable",66,"Base Qof bmr_demdur",61,"Mainwaring & Su (2021) - age_demo",66,"66"
"91","Costa Rica",2018,2,69,"Base Qof p_durable",70,"Base Qof bmr_demdur",65,"Mainwaring & Su (2021) - age_demo",70,"70"
"92","Costa Rica",2018,1,69,"Base Qof p_durable",70,"Base Qof bmr_demdur",65,"Mainwaring & Su (2021) - age_demo",70,"70"
"93","Costa Rica",2022,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",74,"74"
"94","Costa Rica",2022,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",74,"74"
"95","Ecuador",1960,1,130,"Base Qof p_durable",13,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",13,"13"
"96","Ecuador",1968,1,0,"Base Qof p_durable",6,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",6,"6"
"97","Ecuador",1979,2,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"98","Ecuador",1979,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"99","Ecuador",1984,2,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",6,"6"
"100","Ecuador",1984,1,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",6,"6"
"101","Ecuador",1988,2,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",9,"Mainwaring & Su (2021) - age_demo",10,"10"
"102","Ecuador",1988,1,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",9,"Mainwaring & Su (2021) - age_demo",10,"10"
