"","cat_pais","ncat_eleccion","average_confianza_tv","average_confianza_ppols","median_confianza_tv","median_confianza_ppols","sd_confianza_tv","sd_confianza_ppols","dico_confianza_tv_0","dico_confianza_tv_1","dico_confianza_tv_2","dico_confianza_tv_3","dico_confianza_ppols_0","dico_confianza_ppols_1","dico_confianza_ppols_2","dico_confianza_ppols_3","average_dias_tv","median_dias_tv","sd_dias_tv"
"91","Chile",2023,1.20484949832776,0.568067226890756,1,0,0.811430821037932,0.734804891986076,262,461,439,34,677,362,139,12,NA,NA,NA
"92","Colombia",1996,1.49121338912134,0.572033898305085,2,0,0.832071611293009,0.733817281121807,148,428,503,116,659,386,116,19,3.42208370436331,4,0.739713971394179
"93","Colombia",1997,1.52609427609428,0.994936708860759,2,1,0.924345929840502,0.911622412247044,179,385,444,180,425,411,279,70,3.00254452926209,3,0.912557352855948
"94","Colombia",1998,1.34822934232715,0.74508126603935,1,1,0.886457550426371,0.810902917858572,224,432,423,107,536,430,168,35,NA,NA,NA
"95","Colombia",2000,1.34919286321155,0.694137638062872,1,1,0.870667961002568,0.781313187759035,230,388,477,82,576,403,180,18,3.30569948186529,3,0.78103181948118
"96","Colombia",2001,1.56675062972292,0.605285592497869,2,0,0.895574237142179,0.764086836664918,154,385,475,177,631,408,100,34,3.3957264957265,4,0.763685311154234
"97","Colombia",2002,1.59831932773109,0.566638005159071,2,0,0.930736994509321,0.736078806326029,181,307,511,191,654,381,106,22,3.43217391304348,4,0.735882249502344
"98","Colombia",2003,1.2428810720268,0.556866048862679,1,0,0.905216552433646,0.755481119222933,268,479,336,111,689,364,105,29,3.42564102564103,4,0.766575208754213
"99","Colombia",2004,1.22362869198312,0.82793867120954,1,1,0.966385364554288,0.83059752707918,321,407,328,129,481,456,195,42,3.16952054794521,3,0.830252195043887
"100","Colombia",2005,1.50042052144659,0.899493243243243,1,1,0.918042947424514,0.859062226303186,173,427,410,179,445,470,212,57,3.10212765957447,3,0.85972970320025
"101","Colombia",2006,1.81947942905122,0.834038950042337,2,1,0.885071367414412,0.830290756816243,82,347,466,296,475,473,187,46,3.16425619834711,3,0.832933332483928
"102","Colombia",2007,1.44911690496215,0.804054054054054,1,1,0.851900021772588,0.786907093035084,164,447,458,120,477,490,189,28,3.19627749576988,3,0.78753176675113
"103","Colombia",2008,1.57250628667225,0.836472602739726,2,1,0.841448398826866,0.800474509619908,123,417,500,153,456,476,207,29,NA,NA,NA
"104","Colombia",2009,1.57010915197313,0.988515901060071,2,1,0.894378280753864,0.871420026058558,159,365,496,171,376,453,243,60,3.00900090009001,3,0.871939946997705
"105","Colombia",2010,1.57407407407407,0.889365351629503,2,1,0.847455918927503,0.817579453875474,126,409,498,155,432,460,245,29,3.11197243755383,3,0.817609838196385
"106","Colombia",2011,1.48076923076923,0.792580101180438,2,1,0.865207398798292,0.766918710114949,162,433,465,136,479,492,197,18,3.20759493670886,3,0.767218808847917
"107","Colombia",2013,1.4399664147775,0.788006756756757,1,1,0.906307309938277,0.811888469882577,197,418,431,145,517,426,216,25,NA,NA,NA
"108","Colombia",2015,1.3744752308984,0.665827036104114,1,1,0.91439654850365,0.743034410215458,225,428,405,133,577,452,145,17,NA,NA,NA
"109","Colombia",2016,NA,0.666666666666667,NA,0,NA,0.778531986709199,0,0,0,0,599,394,166,20,NA,NA,NA
"110","Colombia",2017,NA,0.51558550968829,NA,0,NA,0.707977708078124,0,0,0,0,711,353,110,13,NA,NA,NA
"111","Colombia",2018,NA,0.700934579439252,NA,1,NA,0.816876086554465,0,0,0,0,585,395,161,36,NA,NA,NA
"112","Colombia",2020,1.27489361702128,0.607540702656384,1,0,0.953880875039813,0.722259202020137,284,417,341,133,607,427,117,16,NA,NA,NA
"113","Colombia",2023,1.09259259259259,0.559048428207307,1,0,0.885060321798607,0.713181369056793,322,527,246,93,652,413,91,21,NA,NA,NA
"114","Costa Rica",1996,1.2451403887689,0.62954796030871,1,0,0.9750138636572,0.817528793036311,255,288,284,99,511,243,131,22,3.3729662077597,4,0.804791470436118
